ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO,N_VICTIMAS,FECHA_SINIESTRO,HORA_SINIESTRO,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,pos x,pos y,PARTICIPANTES,ACUSADO,ID,Year,Rango_Edad
Peaton,Peaton,Masculino,50,2016-03-02 00:00:00,1,2016-03-02,10:00:00,10,Viamonte Y Av 9 De Julio,Avenida,1,-58.38199706,-34.60028648,Peaton-Cargas,Cargas,20,2016,41-60
Peaton,Peaton,Masculino,38,2016-03-04 00:00:00,1,2016-03-04,17:30:00,17,Av Cabildo Y Deheza,Avenida,12,-58.47378664,-34.54153077,Peaton-Pasajeros,Pasajeros,21,2016,21-40
Conductor,Moto,Masculino,21,2016-03-08,1,2016-03-08,12:30:00,12,Av Gral Paz Y Av Cnel Roca,Gral Paz,8,-58.47064556,-34.69843756,Moto-Pasajeros,Pasajeros,22,2016,21-40
Peaton,Peaton,Masculino,52,2016-03-12 00:00:00,1,2016-03-12,12:30:00,12,Av Amancio Alcorta Y Bonavena,Avenida,4,-58.40623949,-34.65076549,Peaton-Pasajeros,Pasajeros,23,2016,41-60
Conductor,Moto,Masculino,34,2016-03-13 00:00:00,1,2016-03-13,06:00:00,6,Av Corrientes Y Av Callao,Avenida,3,-58.39228965,-34.60443527,Moto-Pasajeros,Pasajeros,24,2016,21-40
Pasajero_Acompañante,Moto,Masculino,36,2016-03-14 00:00:00,1,2016-03-14,00:15:00,0,Herrera Y Aristobulo Del Valle,Calle,4,-58.37813396,-34.63668504,Moto-Pasajeros,Pasajeros,25,2016,21-40
Conductor,Moto,Masculino,20,2016-03-19 00:00:00,1,2016-03-19,11:00:00,11,Av. Eva Peron Y Quirno,Avenida,7,-58.46275892,-34.64358293,Moto-Moto,Moto,26,2016,21-40
Peaton,Peaton,Masculino,29,2016-03-21 00:00:00,1,2016-03-21,08:06:00,8,Av Gral Paz Colectora Y Zuviria,Gral Paz,8,-58.49683458,-34.67892743,Peaton-Pasajeros,Pasajeros,27,2016,21-40
Conductor,Moto,Masculino,20,2016-03-23 00:00:00,1,2016-03-23,01:50:00,1,Bartolome Mitre Y Av Pueyrredon,Avenida,3,-58.40603217,-34.60883960,Moto-Pasajeros,Pasajeros,28,2016,21-40
Conductor,Moto,Masculino,54,2016-03-29 00:00:00,2,2016-03-29,11:00:00,11,Av Directorio Y Rivera Indarte,Avenida,7,-58.46076550,-34.63350444,Moto-Cargas,Cargas,29,2016,41-60
Pasajero_Acompañante,Moto,Masculino,42,2016-03-30 00:00:00,2,2016-03-29,11:00:00,11,Av Directorio Y Rivera Indarte,Avenida,7,-58.46076550,-34.63350444,Moto-Cargas,Cargas,30,2016,41-60
Peaton,Peaton,Femenino,56,2016-03-30 00:00:00,1,2016-03-30,18:15:00,18,Dellepiane Luis Tte Gral Colectora Y Murguiondo,Avenida,8,-58.47832463,-34.67494416,Peaton-Cargas,Cargas,31,2016,41-60
Conductor,Moto,Masculino,24,2016-03-31 00:00:00,1,2016-03-31,19:40:00,19,Av Jose Maria Moreno Y Balbastro,Avenida,7,-58.43213235,-34.63693953,Multiple,Multiple,32,2016,21-40
Peaton,Peaton,Masculino,41,2016-04-15 00:00:00,1,2016-04-15,05:30:00,5,Lima 1483,Calle,1,-58.38247061,-34.62571878,Peaton-Pasajeros,Pasajeros,33,2016,41-60
Peaton,Peaton,Femenino,42,2016-04-15,1,2016-04-15,17:40:00,17,Av. Corrientes Y Av. Dorrego,Avenida,15,-58.44759966,-34.59170240,Peaton-Pasajeros,Pasajeros,34,2016,41-60
Peaton,Peaton,Masculino,78,2016-04-19 00:00:00,1,2016-04-19,09:50:00,9,Timoteo Gordillo Y Av Fernandez De La Cruz,Avenida,8,-58.47305463,-34.68550712,Peaton-Pasajeros,Pasajeros,35,2016,61-90
Conductor,Moto,Masculino,36,2016-04-20 00:00:00,1,2016-04-20,04:00:00,4,Av Amancio Alcorta Y Bonavena,Avenida,4,-58.40623949,-34.65076549,Moto-Cargas,Cargas,36,2016,21-40
